name,id,office,state,district,party,incumbent,receipts,disbursement,cash.on.hand,debt.owed,end.date,start.date
"FLORES, SOL",H8IL04159,H,IL,4,DEM,OPEN,341189.07,316784.95,24404.12,0,6/30/18,10/1/17
"DEGROW, RICHIE",H8TX10094,H,TX,10,DEM,CHALLENGER,6076.13,6068.13,8,0,2/14/18,5/30/17
"ALLEN, CHAD",H8AZ08141,H,AZ,8,REP,OPEN,33011.58,33011.58,0,0,6/30/18,12/18/17
"FENENBOCK, DORI",H8TX16083,H,TX,16,DEM,OPEN,1053359.08,1037114.67,16244.41,400030,9/30/18,5/17/17
"ABBOUD, DEEDRA",S8AZ00122,S,AZ,0,DEM,OPEN,113399.05,95070.97,18328.63,108907.08,9/30/18,4/1/17
"WESTMORELAND, BRAD",H8CA07064,H,CA,7,DEM,CHALLENGER,2581.95,2581.95,0,0,2/23/18,1/1/17
"LOPEZ, RAYMOND ANTHONY MR.",H8IL04167,H,IL,4,DEM,OPEN,4350,4350,0,0,1/31/18,12/8/17
"FAGG, RUSSELL C",S8MT00275,S,MT,0,REP,CHALLENGER,1209961,1225646,0,70293,9/30/18,6/14/17
"RUSSELL, JOHN",H8OH12271,H,OH,12,DEM,OPEN,128377.85,126915.57,1462.28,0,9/30/18,10/1/17
"SANCHEZ, IVAN",H8TX07165,H,TX,7,DEM,CHALLENGER,64535.97,64535.97,0,0,5/30/18,10/1/17
"FOGARTY, PATRICK",H8NV02111,H,NV,2,DEM,CHALLENGER,169040,169040,0,0,7/2/18,1/1/18
"BELL, BARRY",H8SC04292,H,SC,4,REP,OPEN,5620.41,4274.41,1307.39,1300,6/12/18,1/1/18
"EPSTEIN, DANIEL JACOB",H8TX19103,H,TX,19,DEM,CHALLENGER,39874.58,39563.76,310.82,0,10/15/18,2/25/17
"GALLANT, RICK",H8NY23142,H,NY,23,DEM,CHALLENGER,44269.72,30512.84,-5422.08,0,6/30/18,5/24/17
"CROWE, DERRICK CHAD MR.",H8TX21158,H,TX,21,DEM,OPEN,179456.03,179148.24,307.79,0,9/30/18,4/1/17
"PERRI, CHRISTOPHER MICHAEL",H8TX21174,H,TX,25,DEM,CHALLENGER,238362.99,236958.26,1404.73,68390,9/30/18,4/1/17
"CASAS, MASON",H8TX11092,H,TX,11,DEM,CHALLENGER,902.72,488.41,414.31,410,6/30/17,1/1/17
"HAZEL, SHANE",H8GA07193,H,GA,7,REP,CHALLENGER,59579.13,59579.13,0,0,6/29/18,7/1/17
"WEBB, JOHN",H4MO04138,H,MO,4,REP,CHALLENGER,8600,6330,2485,10500,9/30/18,1/1/17
"AHN, POGA",H8WA08114,H,WA,8,DEM,OPEN,3904.29,3904.29,0,0,6/30/17,1/1/17
"WOODY, MICHAEL",H8CA24150,H,CA,24,REP,CHALLENGER,163325.76,157191.79,6133.97,90500,9/30/18,4/1/17
"WILSON, MARY E",H8TX21182,H,TX,21,DEM,OPEN,112239.74,111384.95,854.79,15763.82,9/30/18,4/1/17
"POTEET, ALONZO MARCUS MR. III",H8TX21323,H,TX,21,REP,OPEN,34519.57,34519.57,0,0.72,9/30/18,11/27/17
"MACKLER, JAMES",S8TN00311,S,TN,0,DEM,OPEN,980898,970966,9930,5776,9/30/18,4/1/17
"DOUGLAS, AMANDA",H8OK01181,H,OK,1,DEM,OPEN,11474.83,11234.11,240.72,0,9/30/18,1/1/18
"BROWN II, STEPHEN KEITH",H8TX22263,H,TX,22,DEM,CHALLENGER,55029.07,53215.97,1813.1,33138,9/30/18,10/1/17
"PROSCH, MATT",H8MN07094,H,MN,7,REP,CHALLENGER,600,0,600,0,6/30/17,4/1/17
"WELLMAN, HEIDI M",S8MA00300,S,MA,0,REP,CHALLENGER,10349.77,10349,0.02,0,3/31/18,4/1/17
"VERCOLIO-OSMUND, BETH",H8IL16161,H,IL,16,DEM,CHALLENGER,13098,98,420,0,4/15/18,12/19/17
"WINFIELD, RICHARD DIEN",H8GA10171,H,GA,10,DEM,CHALLENGER,119100.64,128039.31,-8938.67,15e3,6/25/18,7/1/17
"BAAKE, DAVID",H8NM02131,H,NM,2,DEM,OPEN,78982.99,78982.99,0,0,6/26/18,4/1/17
"BOURGEOIS, JENNA MARIE MS.",H8MO04089,H,MO,4,REP,CHALLENGER,494.09,143.14,350.95,134.09,9/30/17,7/1/17
"MOHAN, RADHAKRISHNA",H8NY11139,H,NY,11,DEM,CHALLENGER,118612.21,116680.79,2031.42,83395,9/30/18,10/1/17
"GARDNER, JONAH",H8NC07119,H,NC,7,DEM,CHALLENGER,214.16,214.16,0,0,7/31/17,4/1/17
"HAULMARK, CHRIS",H8KS03098,H,KS,3,DEM,CHALLENGER,10982,4550.04,-1417.5,0,6/30/18,4/1/17
"DUGDALE, SEAN",H8IN05147,H,IN,5,DEM,CHALLENGER,434,434,70,0,3/31/18,4/1/17
"PRUETT, JAMES",H8IN06087,H,IN,6,DEM,OPEN,2696.35,2624.67,1572.63,0,3/31/18,7/1/17
"GRISEZ, BRANDON",H8OH12123,H,OH,12,REP,CHALLENGER,5220,5019,200,0,6/30/17,1/1/17
"VELEY, JONATHAN ALAN",H8OH12156,H,OH,12,IND,CHALLENGER,300,62.22,237.78,0,12/31/17,1/1/17
"SCOTT, ZACH",H8OH12164,H,OH,12,DEM,CHALLENGER,58967.62,52880.17,6087.45,0,6/30/18,10/1/17
"HARTSON, ALISON",S8CA00416,S,CA,0,DEM,CHALLENGER,437408.63,435355.57,2052.37,13248.04,9/30/18,10/1/17
"DE LA FUENTE, ROQUE ROCKY",S8CA00598,S,CA,0,REP,CHALLENGER,1410760.98,1389396.11,53430.95,9368129.1,9/30/18,1/1/17
"MALIK, DEAN",H0PA08122,H,PA,8,REP,CHALLENGER,74197,66420.56,11,NA,9/7/18,1/1/18
"KUSHMER, DANNY",H8FL15248,H,FL,15,REP,OPEN,77077.25,77077.25,0,0,9/30/18,4/1/18
"WARD, KIM",H8PA18215,H,PA,18,REP,OPEN,15500,15500,0,0,12/31/17,10/1/17
"TARASI, ELIZABETH M",H8PA12085,H,PA,17,DEM,CHALLENGER,237994.18,237994.18,0,0,9/30/18,4/1/17
"BOYAJIAN, DON",H8NY21286,H,NY,21,DEM,CHALLENGER,520131.85,520131.85,0,0,9/17/18,7/31/17
"JOHNSON, JAMES MICHAEL",H6LA04138,H,LA,4,REP,INCUMBENT,1151099.1,758816.62,493289.99,0,10/17/18,1/1/17
"KINZINGER, ADAM",H0IL11052,H,IL,16,REP,INCUMBENT,1732462.96,1999130.68,1211151.36,0,10/17/18,1/1/17
"RYAN, GREGORY",H6MN04236,H,MN,4,REP,CHALLENGER,23304.31,7173.27,19126.56,29140.32,10/17/18,1/1/17
"HOEBER, AMIE",H6MD06212,H,MD,6,REP,OPEN,833875.53,699509.17,134722.94,45e4,10/17/18,1/1/17
"JACKSON, JARRIN DALE",H6OK02233,H,OK,2,REP,CHALLENGER,184498.53,184755.33,43.74,54914.75,9/30/18,1/1/17
"BRYAN, PAT",H6TX02160,H,TX,2,DEM,OPEN,1192.88,855,2.88,11558.31,9/30/18,1/1/17
"RACKLEFF, ROBERT BRUCE",H8FL02097,H,FL,2,DEM,CHALLENGER,230106.68,216762.58,11464.97,3e3,10/17/18,6/23/17
"BILLIE, JOSEPH MICHAEL",H8PA07135,H,PA,5,REP,OPEN,1082,976.77,105.23,0,12/31/17,5/5/17
"ZIELINSKI, JENNIFER L",H8MN05213,H,MN,5,REP,OPEN,21322.81,12637.42,8685.39,0,10/17/18,4/1/18
"BAILEY, THOMAS AARON",H8NC13075,H,NC,13,LIB,CHALLENGER,5855,5478,376,NA,10/15/18,5/21/18
"RUTHERFORD, JOHN",H6FL04105,H,FL,4,REP,INCUMBENT,807643.93,350790.34,458849.53,51500,10/17/18,1/1/17
"VOLOSIN, PETER",H8VA06070,H,VA,6,DEM,OPEN,72647.16,71000.61,1896.49,0,9/30/18,7/1/17
"GONZALEZ, RICHARD",H8IL04126,H,IL,4,DEM,OPEN,47110,42179,0,27410,6/6/18,10/1/17
"ZARKADES, TONY",H8CA48050,H,CA,48,DEM,CHALLENGER,2200,2983,78,1700,6/30/18,1/1/18
"NEIGHBORS, RICKY ALLEN",H8AL04086,H,AL,4,DEM,CHALLENGER,21088.35,17429.2,4805.37,0,9/30/18,6/1/17
"SINGER, JAMES COURAGE",S8UT00135,S,UT,0,DEM,OPEN,8773,4507,4266,0,6/30/17,4/1/17
"RUGGLES, ROGER WILLIAM DR.",H8PA07242,H,PA,7,DEM,OPEN,2028,2028,0,0,6/30/18,3/27/18
"VICE, MITCHELL KENT",S8UT00150,S,UT,0,DEM,OPEN,3278,2341,529,1517,12/31/17,8/22/17
"FRANK, ALEXIS",H8SC05182,H,SC,5,DEM,OPEN,65986.6,56093.37,9893.23,0,9/30/18,3/1/17
"EMERT, JASON",H8TN02200,H,TN,2,REP,OPEN,467156.68,466212.02,944.66,349578.95,9/30/18,11/1/17
"HEFFERNAN, PETER",H8TN06177,H,TN,6,DEM,OPEN,29050,7837.71,21212.29,2e4,9/30/18,4/1/18
"MCKINLEY, TODD ALLEN",H8TN01087,H,TN,1,REP,CHALLENGER,54144.86,48947.96,5041.9,0,9/19/18,7/1/17
"HAMMOND, LARRY GUY",H8SC07071,H,SC,7,REP,CHALLENGER,1874.12,7207.43,135.98,0,6/18/18,4/17/18
"TRUAX, TODD JAMES MR.",H8FL19075,H,FL,19,DEM,CHALLENGER,15242.23,16172.54,-6362.18,0,8/8/18,7/4/17
"JONES, JEFF",H6MI12264,H,MI,12,REP,CHALLENGER,22087,21714,1162,6e4,10/26/18,1/1/17
"LEVARIO, MIGUEL ANTONIO MR. PHD",H8TX19111,H,TX,19,DEM,CHALLENGER,87289.7,83214.83,4074.87,0,10/17/18,4/1/17
"WESTLEY, TIMMY LEE",H6TX15204,H,TX,15,REP,CHALLENGER,16886,16279,672,0,9/30/18,1/1/17
"HILDT, ROBERT TRAVIS",H8TX23170,H,TX,23,GRE,CHALLENGER,19e3,18346,753,5e3,9/30/18,4/1/18
"HANSON, JUSTIN MR.",H8IL03136,H,IL,3,IND,CHALLENGER,46024,36697.05,9326.95,0,10/17/18,7/1/18
"FREEMAN, APRIL JUNE",H4FL19058,H,FL,17,DEM,OPEN,28265.57,4283.15,0,0,8/8/18,1/1/17
"MATIELLA, MARIA MARY",H8AZ02144,H,AZ,2,DEM,OPEN,291497.47,291497.47,0,1e4,9/26/18,4/1/17
"MCEACHERN, DEAGLAN",H8NH01251,H,NH,1,DEM,OPEN,268348.07,266122.49,2225.58,15e3,9/30/18,1/1/18
"DIAZ, MINERVA DR",S8VA00339,S,VA,0,REP,CHALLENGER,10746,10745,0,0,5/17/18,1/1/18
